element,web_name,team,pos,price,xp_total,gws,xp_per_gw,value
9,Hincapie,ARS,DEF,5.3,5.62973419885976,6,0.9382890331432933,1.0622139997848603
262,Smith Rowe,FUL,MID,5.4,5.629315055208087,6,0.9382191758680145,1.0424657509644606
31,Konsa,ARS,DEF,4.4,5.620954472415807,6,0.9368257454026345,1.2774896528217743
389,Matheus N.,MCI,DEF,5.9,5.611511914690416,6,0.935251985781736,0.9511037143543077
16,Madueke,ARS,MID,6.3,5.61140712792191,6,0.9352345213203184,0.890699544114589
629,Zetterer,LEE,GK,4.0,5.551925554291842,6,0.9253209257153071,1.3879813885729606
238,Grealish,EVE,MID,6.5,5.520864239258894,6,0.9201440398764823,0.849363729116753
91,Pinnock,COV,DEF,4.5,5.467751606100092,6,0.9112919343500153,1.215055912466687
452,Bruno G.,ARS,MID,6.8,5.452278811489141,6,0.9087131352481902,0.8018057075719326
339,Longstaff,LEE,MID,4.9,5.430933565012401,6,0.9051555941687335,1.1083537887780408
207,Mingueza,CRY,DEF,4.4,5.410264251995858,6,0.9017107086659762,1.2296055118172402
313,Clarke,IPS,MID,5.5,5.405246289042543,6,0.9008743815070904,0.9827720525531896
345,Tanaka,LEE,MID,4.9,5.371736309101197,6,0.8952893848501996,1.0962727161431014
549,Talbi,SUN,MID,5.4,5.336800012167849,6,0.8894666686946415,0.9882962985496017
72,Gannon-Doak,BOU,MID,5.0,5.320645635726377,6,0.8867742726210629,1.0641291271452755
74,Brooks,BOU,MID,5.0,5.266591383116477,6,0.8777652305194129,1.0533182766232954
559,Bamba,NEW,MID,5.0,5.259323864998038,6,0.876553977499673,1.0518647729996076
76,Tóth.A,BOU,MID,5.0,5.252665127790301,6,0.8754441879650502,1.0505330255580603
435,Lacey,MUN,MID,5.0,5.2270363043700625,6,0.8711727173950105,1.0454072608740126
381,Koumas,LIV,MID,5.0,5.2029710874292014,6,0.867161847904867,1.0405942174858402
135,Yohanna,BHA,MID,4.9,5.17642015788666,6,0.8627366929811101,1.0564122771197266
164,Quenda,CHE,MID,5.4,5.166398085255934,6,0.8610663475426557,0.9567403861585062
89,Henry,BRE,DEF,4.5,5.153697735857273,6,0.8589496226428789,1.1452661635238384
308,Furlong,IPS,DEF,4.0,5.125541278301151,6,0.8542568797168585,1.2813853195752878
490,Wood,NFO,FWD,5.9,5.123162307163512,6,0.853860384527252,0.8683325944344935
598,Elvedi,LEE,DEF,4.5,5.1000632993224055,6,0.8500105498870676,1.1333473998494235
487,Dominguez,NFO,MID,5.0,5.06918548139099,6,0.8448642468984984,1.013837096278198
364,Tsimikas,LIV,DEF,5.0,5.028555974451575,6,0.8380926624085959,1.005711194890315
556,Targett,HUL,DEF,4.0,4.9568097864858425,6,0.8261349644143071,1.2392024466214606
343,James,LEE,MID,5.0,4.930897282639976,6,0.8218162137733294,0.9861794565279952
285,McNair,HUL,DEF,4.0,4.91680183793377,6,0.8194669729889617,1.2292004594834425
167,Delap,NFO,FWD,5.5,4.884932027924307,6,0.8141553379873846,0.8881694596226013
420,Yoro,MUN,DEF,4.9,4.81903408311743,6,0.8031723471862383,0.9834763434933529
153,Disasi,CRY,DEF,4.5,4.813396017358928,6,0.8022326695598213,1.069643559413095
